City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
248,Clyde River,70.4692,-68.5914,39.6,95,27,4.54,CA,2022-06-21 17:12:55
249,Souillac,-20.5167,57.5167,70.18,64,20,5.75,MU,2022-06-21 17:12:55
250,Chiungutwa,-10.8833,38.9833,74.68,52,100,2.98,TZ,2022-06-21 17:12:55
251,Tura,25.5198,90.2201,73.56,96,17,6.15,IN,2022-06-21 17:12:56
252,Maldonado,-34.6667,-54.9167,54.79,49,50,11.01,UY,2022-06-21 17:12:56
253,Sao Joao Do Piaui,-8.3581,-42.2467,84.34,47,100,8.21,BR,2022-06-21 17:12:56
254,Narsaq,60.9167,-46.05,52.02,55,14,9.15,GL,2022-06-21 17:12:57
255,Bandarbeyla,9.4942,50.8122,77.45,82,7,34.9,SO,2022-06-21 17:12:57
256,Lewistown,40.5992,-77.5714,81.61,83,0,5.75,US,2022-06-21 17:12:57
257,Otane,-39.8833,176.6333,46.0,92,100,5.44,NZ,2022-06-21 17:12:58
258,Christchurch,-43.5333,172.6333,31.48,93,0,1.14,NZ,2022-06-21 17:09:41
259,Fortuna,40.5982,-124.1573,68.94,70,0,1.99,US,2022-06-21 17:12:58
260,Buala,-8.145,159.5921,79.29,82,13,6.17,SB,2022-06-21 17:12:59
261,Kuytun,54.3419,101.5036,51.37,89,34,5.59,RU,2022-06-21 17:12:59
262,Prince Rupert,54.3161,-130.3201,51.89,93,75,0.0,CA,2022-06-21 17:12:59
263,Grindavik,63.8424,-22.4338,51.75,100,100,24.16,IS,2022-06-21 17:13:00
264,Mango,27.9797,-82.3065,92.05,66,40,9.22,US,2022-06-21 17:13:00
265,Yulara,-25.2406,130.9889,54.57,64,0,9.66,AU,2022-06-21 17:13:00
266,Lorengau,-2.0226,147.2712,80.58,76,100,3.65,PG,2022-06-21 17:13:01
267,Finschhafen,-6.6024,147.8681,78.67,80,11,8.21,PG,2022-06-21 17:13:01
268,Husavik,66.0449,-17.3389,48.56,85,100,13.11,IS,2022-06-21 17:13:01
